Flags,Pack,Image,Author,Difficulty,English,Spanish,German,French,Netherlands,Italian,Russian,Portuguese,Swedish,Danish,Norwegian,Finnish,Turkish,Polish,Greek,Czech,Lithuanian,Latvian,Estonian,Korean,Hungarian
,1,ACTOR.JPG,© Dietmar Höpfl - Dreamstime,2,ACTOR,ACTOR,SCHAUSPIELER,ACTEUR,ACTEUR,ATTORE,АКТЕР,AСTOR,SKÅDESPELARE,SKUESPILLER,SKUESPILLER,NÄYTTELIJÄ,AKTÖR,AKTOR,ΗΘΟΠΟΙΟΣ,HEREC,AKTORIUS,AKTIERIS,NÄITLEJA,연극배우,SZÍNÉSZ
,1,ACUPUNCTURE.JPG,© Artisticco Llc - Dreamstime,2,ACUPUNCTURE,ACUPUNTURA,AKUPUNKTUR,ACUPUNCTURE,ACUPUNCTUUR,AGOPUNTURA,АКУПУНКТУРА,ACUPUNTURA,AKUPUNKTUR,AKUPUNKTUR,AKUPUNKTUR,AKUPUNKTIO,AKUPUNKTUR,AKUPUNKTURA,ΒΕΛΟΝΙΣΜΟΣ,AKUPUNKTURA,AKUPUNKTŪRA,AKUPUNKTŪRA,AKUPUNKTUUR,침을 놓다,AKUPUNKTÚRA
,1,ADVERTISE.JPG,©  Bowie15 - Dreamstime,2,ADVERTISE,PROMOCIONAR,WERBUNG,PUBLICITÉ,RECLAME,PUBBLICIZZARE,РЕКЛАМА,PUBLICIDADE,ANNONSERA,REKLAMERE,REKLAME,MAINOS,TANITMAK,REKLAMA,ΔΙΑΦΗΜΙΣΗ,REKLAMA,REKLAMA,REKLĀMA,REKLAAMIMA,상업 광고,HIRDET
,1,AERIALIST.JPG,© Galina Barskaya - Dreamstime,3,AERIALIST,ACRÓBATA,AKROBAT,ACROBATE,ACROBAAT,ACROBATA,АКРОБАТ,ACROBATA,LUFTAKROBAT,AKROBAT,AKROBAT,AKROBAATTI,TRAPEZSANATÇISI,AKROBATA,ΑΚΡΟΒΑΤΗΣ,AKROBAT,AKROBATAS,AKROBĀTS,ÕHUAKROBAAT,곡예사,LÉGTORNÁSZ
,1,AGREEMENT.JPG,© Igor Zakowski - Dreamstime,3,AGREEMENT,ACUERDO,ABKOMMEN,ACCORD,AKKOORD,ACCORDO,СОГЛАСИЕ,ACORDO,AVTAL,ENIGHED,AVTALE,YHTEISYMMÄRRYS,ANLAŞMA,POROZUMIENIE,ΣΥΜΦΩΝΙΑ,DOHODA,SUSITARIMAS,VIENOŠANĀS,KOKKULEPE,합의하다,MEGÁLLAPODÁS
,1,AKITA.JPG,© Stanislav Tolubaev - Dreamstime,4,AKITA,AKITA,AKITA,AKITA,AKITA,AKITA,АКИТА,AKITA,AKITA,AKITA,AKITA,AKITA,AKİTA,AKITA,ΑΚΙΤΑ,AKITA,AKITA,AKITA,AKITA,아키타,AKITA
,1,ALARM.JPG,©  Juliengrondin - Dreamstime,1,ALARM,ALARMA,WECKER,ALARME,WEKKER,SVEGLIA,БУДИЛЬНИК,DESPERTADOR,VÄCKARKLOCKA,VÆKKEUR,VEKKERUR,HERÄTYSKELLO,ÇALARSAAT,BUDZIK,ΞΥΠΝΗΤΗΡΙ,BUDÍK,ŽADINTUVAS,TRAUKSME,ÄRATUSKELL,알람시계,ÉBRESZTŐ
,1,ALLERGY.JPG,©  Rob3000 - Dreamstime,2,ALLERGY,ALERGIA,ALLERGIE,ALLERGIE,ALLERGIE,ALLERGIA,АЛЛЕРГИЯ,ALERGIA,ALLERGI,ALLERGI,ALLERGI,ALLERGIA,DUYARCA,ALERGIA,ΑΛΛΕΡΓΙΑ,ALERGIE,ALERGIJA,ALERĢIJA,ALLERGIA,알레르기,ALLERGIA
,1,ALOE.JPG,© Anna Sedneva - Dreamstime,2,ALOE,ALOE,ALOE,ALOÈS,ALOË,ALOE,АЛОЭ,ALOÉ,ALOE,ALOE,ALOE,ALOE,SARISABIR,ALOES,ΑΛΟΗ,ALOE,ALAVIJAS,ALVEJA,AALOE,알로에,ALOÉ
,1,AMOEBA.JPG,©  Designua - Dreamstime,2,AMOEBA,AMEBA,AMÖBE,AMIBE,AMOEBE,AMEBA,АМЁБА,AMEBA,AMÖBA,AMØBE,AMØBE,AMEBA,AMİP,AMEBA,ΑΜΟΙΒΑΔΑ,AMÉBA,AMEBA,AMĒBA,AMÖÖB,아메바,AMŐBA
,1,AMPHITHEATRE.JPG,©  Indos82 - Dreamstime,3,AMPHITHEATRE,ANFITEATRO,AMPHITHEATER,AMPHITHÉÂTRE,AMFITHEATER,ANFITEATRO,АМФИТЕАТР,ANFITEATRO,AMFITEATER,AMFITEATER,AMFITEATER,AMFITEATTERI,AMFİ,AMFITEATR,ΑΜΦΙΘΕΑΤΡΟ,AMFITEÁTR,AMFITEATRAS,AMFITEĀTRIS,AMFITEATER,원형경기장,AMFITEÁTRUM
,1,AMPHORA.JPG,© Mariia Pazhyna - Dreamstime,3,AMPHORA,ÁNFORA,AMPHORE,AMPHORE,AMFORA,ANFORA,АМФОРА,ÁNFORA,AMFORA,AMFORA,AMFORA,AMFORA,AMFORA,AMFORA,ΑΜΦΟΡΕΑΣ,AMFORA,AMFORA,AMFORA,AMFORA,암포라,AMFORA
,1,ANATOMY.JPG,©  N.l - Dreamstime,2,ANATOMY,ANATOMÍA,ANATOMIE,ANATOMIE,ANATOMIE,ANATOMIA,АНАТОМИЯ,ANATOMIA,ANATOMI,ANATOMI,ANATOMI,ANATOMIA,ANATOMİ,ANATOMIA,ΑΝΑΤΟΜΙΑ,ANATOMIE,ANATOMIJA,ANATOMIJA,ANATOOMIA,해부학,ANATÓMIA
,1,ANEMOMETER.JPG,©  Nanisub - Dreamstime,4,ANEMOMETER,ANEMÓMETRO,WINDMESSER,ANÉMOMÈTRE,ANEMOMETER,ANEMOMETRO,АНЕМОМЕТР,ANEMÓMETRO,ANEMOMETER,ANEMOMETER,ANEMOMETER,ANEMOMETRI,ANEMOMETER,ANEMOMETR,ΑΝΕΜΟΜΕΤΡΟ,ANEMOMETR,ANEMOMETRAS,ANEMOMETRS,ANEMOMEETER,풍속계,ANEMOMÉTER
,1,ANGEL.JPG,© Eti Swinford - Dreamstime,1,ANGEL,ÁNGEL,ENGEL,ANGE,ENGEL,ANGELO,АНГЕЛ,ANJO,ÄNGEL,ENGEL,ENGEL,ENKELI,MELEK,ANIOŁ,ΑΓΓΕΛΟΣ,ANDĚL,ANGELAS,ĒNĢELIS,INGEL,수호천사,ANGYAL
,1,ANGRY.JPG,©  Robodread - Dreamstime,2,ANGRY,ENFADADO,WÜTEND,FÂCHÉ,BOOS,ARRABBIATO,ЗЛОЙ,RAIVOSO,ARG,VRED,SINT,VIHAINEN,KIZGIN,ZŁY,ΘΥΜΩΜΕΝΟΣ,ZLÝ,PIKTAS,ĻAUNS,VIHANE,화가 나다,DÜHÖS
,1,ANISE.JPG,© Vishakha Shah - Dreamstime,2,ANISE,ANÍS,ANIS,ANIS,ANIJS,ANICE,АНИС,ANIS,ANIS,ANIS,ANIS,ANIS,ANASON,ANYŻ,ΓΛΥΚΑΝΙΣΟ,BADYÁN,ANYŽIUS,ANĪSS,ANIIS,아니스,ÁNIZS
,1,ANNOUNCE.JPG,©  Bowie15 - Dreamstime,2,ANNOUNCE,ANUNCIAR,ANSAGE,ANNONCER,ROEPEN,ANNUNCIARE,ОБЪЯВЛЯТЬ,ANUNCIAR,MEDDELA,MEDDELE,KUNNGJØRE,KUULUTTAA,AÇIKLAMAK,OGŁASZAĆ,ΑΝΑΚΟΙΝΩΝΩ,OHLÁSIT,SKELBTI,PASLUDINĀT,KUULUTAMA,발표하다,KIHIRDET
,1,ANSWER.JPG,© Robert Kneschke - Dreamstime,2,ANSWER,RESPONDER,ANTWORT,RÉPONSE,ANTWOORD,RISPOSTA,ОТВЕТ,RESPOSTA,SVAR,SVAR,SVAR,VASTATA,CVAPVERMEK,ODPOWIEDŹ,ΑΠΑΝΤΗΣΗ,ODPOVĚĎ,ATSAKYMAS,ATBILDE,VASTUS,대답하다,VÁLASZ
,1,ANT.JPG,©  Vladvitek - Dreamstime,1,ANT,HORMIGA,AMEISE,FOURMI,MIER,FORMICA,МУРАВЕЙ,FORMIGA,MYRA,MYRE,MAUR,MUURAHAINEN,KARINCA,MRÓWKA,ΜΥΡΜΗΓΚΙ,MRAVENEC,SKRUZDĖLĖ,SKUDRA,SIPELGAS,검은 개미,HANGYA
,1,ANTEATER.JPG,©  Isselee - Dreamstime,2,ANTEATER,HORMIGUERO,AMEISENBÄR,FOURMILIER,MIERENETER,FORMICHIERE,МУРАВЬЕД,PAPA-FORMIGAS,MYRSLOK,MYRESLUGER,MAURSLUKER,MUURAHAISKARHU,KARINCAYİYEN,MRÓWKOJAD,ΜΥΡΜΗΓΚΟΦΑΓΟΣ,MRAVENEČNÍK,SKRUZDĖDA,SKUDRULĀCIS,SIPELGAÕGIJA,개미핥기,HANGYÁSZ
,1,ANTELOPE.JPG,© Nico Smit - Dreamstime,1,ANTELOPE,ANTÍLOPE,ANTILOPE,ANTILOPE,ANTILOPE,ANTILOPE,АНТИЛОПА,ANTÍLOPE,ANTILOP,ANTILOPE,ANTILOPE,ANTILOOPPI,ANTİLOP,ANTYLOPA,ΑΝΤΙΛΟΠΗ,ANTILOPA,ANTILOPĖ,ANTILOPE,ANTILOOP,동물 영양,ANTILOP
,1,ANTENNA.JPG,©  Pindiyath100 - Dreamstime,1,ANTENNA,ANTENA,ANTENNE,ANTENNE,ANTENNE,ANTENNA,АНТЕННА,ANTENA,ANTENN,ANTENNE,ANTENNE,ANTENNI,ANTEN,ANTENA,ΚΕΡΑΙΑ,ANTÉNA,ANTENA,ANTENA,ANTENN,안테나,ANTENNA
,1,APERTURE.JPG,©  Milosluz - Dreamstime,4,APERTURE,APERTURA,BLENDE,OUVERTURE,LENSOPENING,APERTURA,АПЕРТУРА,ABERTURA,BLÄNDARE,ÅBNING,IRISBLENDER,AUKKO,AÇIKLIK,APERTURA,ΚΛΕΙΣΤΡΟ,APERTURA,APERTŪRA,APERTŪRA,APERTUUR,조리개,NYÍLÁS
,1,APPLAUD.JPG,© Dmitriy Shironosov - Dreamstime,1,APPLAUD,APLAUDIR,APPLAUS,APPLAUDIR,APPLAUS,APPLAUDIRE,АПЛОДИРОВАТЬ,APLAUDIR,APPLÅDERA,KLAPPE,APPLAUDERE,TAPUTTAA,ALKIŞLAMAK,OKLASKIWAĆ,ΧΕΙΡΟΚΡΟΤΩ,TLESKAT,PLOTI,APLAUDĒT,APLODEERIMA,박수 치다,TAPS
,1,APPLE.JPG,©  Niderlander - Dreamstime,1,APPLE,MANZANA,APFEL,POMME,APPELS,MELA,ЯБЛОКО,MAÇÃ,ÄPPLE,ÆBLE,EPLE,OMENA,ELMA,JABŁKO,ΜΗΛΟ,JABLKO,OBUOLYS,ĀBOLS,ÕUN,빨간 사과,ALMA
,1,APPRAISAL.JPG,© John Takai - Dreamstime,2,APPRAISAL,TASACIÓN,SCHÄTZUNG,ÉVALUATION,SCHATTING,VALUTAZIONE,ОЦЕНКА,APRECIAÇÃO,VÄRDERING,VURDERING,TAKSERING,ARVIOINTI,DEĞERBİÇME,OCENA,ΕΚΤΙΜΗΣΗ,ZHODNOCENÍ,ĮVERTINIMAS,NOVERTĒŠANA,HINNANG,감정하다,FELBECSLÉS
,1,AQUARIUM.JPG,©  Dedmazay - Dreamstime,1,AQUARIUM,ACUARIO,AQUARIUM,AQUARIUM,AQUARIUM,ACQUARIO,АКВАРИУМ,AQUÁRIO,AKVARIUM,AKVARIUM,AKVARIUM,AKVAARIO,AKVARYUM,AKWARIUM,ΕΝΥΔΡΕΙΟ,AKVÁRIUM,AKVARIUMAS,AKVĀRIJS,AKVAARIUM,작은 어항,AKVÁRIUM
,1,AQUARIUS.JPG,©  Katyau - Dreamstime,2,AQUARIUS,ACUARIO,WASSERMANN,VERSEAU,WATERMAN,ACQUARIO,ВОДОЛЕЙ,AQUÁRIO,VATTUMANNEN,VANDMANDEN,VANNMANNEN,VESIMIES,KOVA,WODNIK,ΥΔΡΟΧΟΟΣ,VODNÁŘ,VANDENIS,ŪDENSVĪRS,VEEVALAJA,물병자리,VÍZÖNTŐ
,1,ARCHITECTURE.JPG,©  Bowie15 - Dreamstime,2,ARCHITECTURE,ARQUITECTURA,ARCHITEKTUR,ARCHITECTURE,ARCHITECTUUR,ARCHITETTURA,АРХИТЕКТУРА,ARQUITECTURA,ARKITEKTUR,ARKITEKTUR,ARKITEKTUR,ARKKITEHTUURI,MİMARLIK,ARCHITEKTURA,ΑΡΧΙΤΕΚΤΟΝΙΚΗ,ARCHITEKTURA,ARCHITEKTŪRA,ARHITEKTŪRA,ARHITEKTUUR,건축학,ÉPÍTÉSZET
,1,ARCHIVE.JPG,©  Madmaxer - Dreamstime,2,ARCHIVE,ARCHIVO,ARCHIV,ARCHIVE,ARCHIEF,ARCHIVIO,АРХИВ,ARQUIVO,ARKIV,ARKIV,ARKIV,ARKISTO,ARŞİV,ARCHIWUM,ΑΡΧΕΙΟ,ARCHIV,ARCHYVAS,ARHĪVS,ARHIIV,기록보관소,NYILVÁNTARTÁS
,1,AREA.JPG,©  Noomhh - Dreamstime,2,AREA,ÁREA,ZONE,ZONE,PLAATS,AREA,ЗОНА,ZONA,OMRÅDE,OMRÅDE,SONE,ALUE,ALAN,STREFA,ΠΕΡΙΟΧΗ,ZÓNA,ZONA,ZONA,TSOON,금지 구역,HELY
,1,ARIES.JPG,©  Katyau - Dreamstime,2,ARIES,ARIES,WIDDER,BÉLIER,RAM,ARIETE,ОВЕН,ÁRIES,VÄDUREN,VÆDDEREN,VÆREN,OINAS,KOÇ,BARAN,ΚΡΙΟΣ,BERAN,AVINAS,AUNS,JÄÄR,양자리,KOS
,1,ARK.JPG,© Artisticco Llc - Dreamstime,1,ARK,ARCA,ARCHE,ARCHE,ARK,ARCA,КОВЧЕГ,ARCA,ARK,ARK,ARK,ARKKI,NUHUN GEMİSİ,ARKA,ΚΙΒΩΤΟΣ,ARCHA,LAIVAS,ŠĶIRSTS,LAEV,노아의 방주,BÁRKA
,1,ARMADILLO.JPG,©  Batuque - Dreamstime,2,ARMADILLO,ARMADILLO,GÜRTELTIER,TATOU,GORDELDIER,ARMADILLO,БРОНЕНОСЕЦ,TATU,BÄLTDJUR,BÆLTEDYR,BELTEDYR,VYÖTIÄINEN,ARMADİLLO,PANCERNIK,ΑΡΜΑΝΤΙΛΛΟ,PÁSOVEC,ŠARVUOTIS,BRUŅNESIS,ARMADILL,아르마딜로,TATU
,1,ARMOR.JPG,©  Easyshutter - Dreamstime,2,ARMOR,ARMADURA,RÜSTUNG,ARMURE,HARNAS,ARMATURA,ДОСПЕХ,ARMADURA,RUSTNING,RUSTNING,RUSTNING,HAARNISKA,ZIRH,ZBROJE,ΠΑΝΟΠΛΙΑ,BRNĚNÍ,ŠARVAI,BRUŅUTĒRPS,RAUDRÜÜ,철갑옷,PÁNCÉL
,1,ARMWRESTLING.JPG,©  Bowie15 - Dreamstime,2,ARMWRESTLING,PULSO,ARMDRÜCKEN,BRAS DE FER,ARM DRUKKEN,FORZA,АРМРЕСТЛИНГ,ARMWRESTLING,ARMBRYTNING,ARMLÆGNING,HÅNDBAK,KÄDENVÄÄNTÖ,BİLEKGÜREŞİ,ARMWRESTLING,ΜΠΡΑ ΝΤΕ ΦΕΡ,ARMWRESTLING,RANKŲ LENKIMAS,ARMRESTLINGS,ARMWRESTLING,팔씨름,SZKANDER
,1,AROMATHERAPY.JPG,© Danijel Micka - Dreamstime,2,AROMATHERAPY,AROMATERAPIA,AROMATHERAPIE,AROMATHÉRAPIE,AROMATHERAPIE,AROMATERAPIA,АРОМАТЕРАПИЯ,AROMATERAPIA,AROMATERAPI,AROMATERAPI,AROMATERAPI,AROMATERAPIA,AROMATEDAVİSİ,AROMATERAPIA,ΑΡΩΜΑΤΟΘΕΡΑΠΕΙΑ,AROMATERAPIE,AROMATERAPIJA,AROMATERAPĪJA,LÕHNATERAAPIA,아로마테라피,AROMATERÁPIA
,1,ARREST.JPG,©  zenwae - Dreamstime,2,ARREST,ARRESTAR,ARREST,ARRESTATION,ARRESTATIE,ARRESTO,АРЕСТ,PRISÃO,ARRESTERING,ANHOLDELSE,ARRESTASJON,PIDÄTYS,YAKALAMA,ARESZT,ΣΥΛΛΗΨΗ,ZATČENÍ,AREŠTAS,ARESTS,AREST,체포하다,LETARTÓZTAT
,1,ARTIST.JPG,©  Dedmazay - Dreamstime,1,ARTIST,ARTISTA,MALER,PEINTRE,KUNSTENAAR,PITTORE,ХУДОЖНИК,PINTOR,KONSTNÄR,KUNSTNER,MALER,TAITEILIJA,SANATÇI,ARTYSTA,ΖΩΓΡΑΦΟΣ,MALÍŘ,DAILININKAS,MĀKSLINIEKS,KUNSTNIK,예술가,MŰVÉSZ
,1,ASHES.JPG,©  Deniskelly - Dreamstime,2,ASHES,CENIZA,ASCHE,CENDRES,AS,CENERE,ЗОЛА,CINZA,ASKA,ASKE,ASKE,TUHKA,KÜL,POPIÓŁ,ΣΤΑΧΤΗ,POPEL,PELENAI,PELNI,TUHK,잿더미,HAMU
,1,ASHTRAY.JPG,©  Dedmazay - Dreamstime,1,ASHTRAY,CENICERO,ASCHENBECHER,CENDRIER,ASBAKJE,PORTACENERE,ПЕПЕЛЬНИЦА,CINZEIRO,ASKFAT,ASKEBÆGER,ASKEBEGER,TUHKA-ASTIA,KÜLLÜK,POPIELNICZKA,ΤΑΣΑΚΙ,POPELNÍK,PELENINĖ,TRAUKS,TUHATOOS,재떨이,HAMUTARTÓ
,1,ASTEROID.JPG,©  Andreus - Dreamstime,1,ASTEROID,ASTEROIDE,ASTEROID,ASTÉROÏDE,ASTEROÏDE,ASTEROIDE,АСТЕРОИД,ASTERÓIDE,ASTEROID,ASTEROIDE,ASTEROIDE,ASTEROIDI,ASTEROİT,ASTEROID,ΑΣΤΕΡΟΕΙΔΗΣ,ASTEROID,ASTEROIDAS,ASTEROĪDS,ASTEROID,소행성,ASZTEROIDA
,1,ASTRONAUT.JPG,©  Dedmazay - Dreamstime,1,ASTRONAUT,ASTRONAUTA,ASTRONAUT,ASTRONAUTE,ASTRONAUT,ASTRONAUTA,АСТРОНАВТ,ASTRONAUTA,ASTRONAUT,ASTRONAUT,ASTRONAUT,AVARUUSLENTÄJÄ,ASTRONOT,ASTRONAUTA,ΑΣΤΡΟΝΑΥΤΗΣ,ASTRONAUT,KOSMONAUTAS,ASTRONAUTS,ASTRONAUT,우주비행사,ŰRHAJÓS
,1,ASTRONOMER.JPG,©  Dedmazay - Dreamstime,1,ASTRONOMER,ASTRÓNOMO,ASTRONOM,ASTRONOME,ASTRONOOM,ASTRONOMO,АСТРОНОМ,ASTRÓNOMO,ASTRONOM,ASTRONOM,ASTRONOM,ASTRONOMI,ASTRONOM,ASTRONOM,ΑΣΤΡΟΝΟΜΟΣ,ASTRONOM,ASTRONOMAS,ASTRONOMS,ASTRONOOM,천문학자,CSILLAGÁSZ
,1,ATLAS.JPG,© Ian Keirle - Dreamstime,3,ATLAS,ATLAS,ATLAS,ATLAS,ATLAS,ATLANTE,АТЛАНТ,ATLANTE,ATLAS,ATLAS,ATLAS,ATLAS,ATLAS,ATLANT,ΑΤΛΑΝΤΑΣ,ATLÁS,ATLANTAS,ATLANTS,ATLAS,아틀라스,ATLASZ
,1,ATOM.JPG,©  Andreus - Dreamstime,2,ATOM,ÁTOMO,ATOM,ATOME,ATOOM,ATOMO,АТОМ,ÁTOMO,ATOM,ATOM,ATOM,ATOMI,ATOM,ATOM,ΑΤΟΜΟ,ATOM,ATOMAS,ATOMS,AATOM,원자 구조,ATOM
,1,ATTACK.JPG,©  Zuura - Dreamstime,2,ATTACK,ATAQUE,ANGRIFF,ATTAQUE,AANVAL,ATTACCO,НАПАДЕНИЕ,ATAQUE,ATTACK,ANGREB,ANGREP,HYÖKKÄYS,SALDIRI,ATAK,ΕΠΙΘΕΣΗ,ÚTOK,PUOLIMAS,UZBRUKUMS,RÜNNAK,공격하다,TÁMADÁS
,1,AUDIOMETRY.JPG,©  Andreus - Dreamstime,4,AUDIOMETRY,AUDIOMETRÍA,HÖRTEST,AUDIOMÉTRIE,AUDIOMETRIE,AUDIOMETRIA,АУДИОМЕТРИЯ,AUDIOMETRIA,AUDIOMETRI,AUDIOMETRI,AUDIOMETRI,AUDIOMETRIA,ODIOMETRİ,AUDIOMETRIA,ΑΚΟΟΜΕΤΡΙΑ,AUDIOMETRIE,AUDIOMETRIJA,AUDIOMETRIJA,AUDIOMEETRIA,청력검사,HALLÁSVIZSGÁLAT
,1,AUGER.JPG,©  Stocksnapper - Dreamstime,3,AUGER,BARRENA,BOHRER,TARIÈRE,SLANGEBOOR,TRIVELLA,БУРАВ,TRADO,NAVARE,JORDBOR,VRIBOR,KAIRA,BURGU,ŚWIDER,ΤΡΥΠΑΝΙ,VRTÁK,GRĄŽTAS,URBIS,PUUR,나사송곳,TALAJFÚRÓ
,1,AURA.JPG,©  Deosum - Dreamstime,2,AURA,AURA,AURA,AURA,AURA,AURA,АУРА,AURA,AURA,AURA,AURA,AURA,AURA,AURA,ΑΥΡΑ,AURA,AURA,AURA,AURA,아우라,AURA
,1,AUTUMN.JPG,©  Mythja - Dreamstime,2,AUTUMN,OTOÑO,HERBST,AUTOMNE,HERFST,AUTUNNO,ОСЕНЬ,OUTONO,HÖST,EFTERÅR,HØST,SYKSY,SONBAHAR,JESIEŃ,ΦΘΙΝΟΠΩΡΟ,PODZIM,RUDUO,RUDENS,SÜGIS,가을 풍경,ŐSZ
,1,AVALANCHE.JPG,©  Bb226 - Dreamstime,1,AVALANCHE,AVALANCHA,LAWINE,AVALANCHE,LAWINE,VALANGA,ЛАВИНА,AVALANCHA,LAVIN,LAVINE,SKRED,LUMIVYÖRY,HEYELAN,LAWINA,ΧΙΟΝΟΣΤΙΒΑΔΑ,LAVINA,LAVINA,LAVĪNA,LAVIIN,눈사태,LAVINA
,1,AVOCADO.JPG,©  Niderlander - Dreamstime,1,AVOCADO,AGUACATE,AVOCADO,AVOCAT,AVOCADO,AVOCADO,АВОКАДО,ABACATE,AVOKADO,AVOCADO,AVOKADO,AVOKADO,AVOKADO,AWOKADO,ΑΒΟΚΑΝΤΟ,AVOKÁDO,AVOKADAS,AVOKADO,AVOKAADO,아보카도,AVOKÁDÓ
,1,AWARD.JPG,©  Elnur - Dreamstime,2,AWARD,PREMIO,PREIS,PRIX,PRIJS,PREMIO,НАГРАДА,PRÉMIO,PRIS,PRIS,PRIS,PALKINTO,ÖDÜL,NAGRODA,ΒΡΑΒΕΙΟ,CENA,APDOVANOJIMAS,APBALVOJUMS,AUHIND,수상하다,DÍJ
,1,BABOON.JPG,©  Pjmorley - Dreamstime,2,BABOON,BABUINO,PAVIAN,BABOUIN,BAVIAAN,BABBUINO,БАБУИН,BABUÍNO,BABIAN,BAVIAN,BAVIAN,PAVIAANI,HABEŞMAYMUNU,PAWIAN,ΒΑΒΟΥΙΝΟΣ,PAVIÁN,BABUINAS,PAVIĀNS,PAAVIAN,개코원숭이,PÁVIÁN
